date,count,70.2,cow bay,mainstem fence,skutz,vimy pool,ck,co
2018-06-12,482,,,,,,True,False
2018-06-12,6,,,,,,False,True
2018-06-13,181,,,,,,True,False
2018-06-13,9,,,,,,False,True
2018-09-25,9,,,,,,True,False
2018-10-03,108,,,,,,True,False
2018-10-03,1,,,,,,False,True
2018-10-10,112,,,,,,True,False
2019-01-16,5,,,,,,True,False
2019-01-20,1,,,,,,True,False
2019-01-21,10,,,,,,True,False
2019-01-27,4,,,,,,True,False
2019-01-29,13,,,,,,True,False
2019-02-21,13,,,,,,True,False
2019-03-02,1,,,,,,True,False
2019-03-05,3,,,,,,True,False
2019-03-23,1,,,,,,True,False
2019-03-30,1,,,,,,True,False
2019-04-17,1,,,,,,True,False
2019-04-17,1,,,,,,False,True
2019-04-20,2,,,,,,True,False
2019-04-20,32,,,,,,False,True
2019-04-21,12,,,,,,False,True
2019-04-22,11,,,,,,False,True
2019-04-24,12,,,,,,False,True
2019-04-26,1,,,,,,True,False
2019-04-26,77,,,,,,False,True
2019-04-28,7,,,,,,True,False
2019-04-28,60,,,,,,False,True
2019-04-29,146,,,,,,False,True
2019-04-30,229,,,,,,False,True
2019-05-01,4,,,,,,True,False
2019-05-01,379,,,,,,False,True
2019-05-03,4,,,,,,True,False
2019-05-03,402,,,,,,False,True
2019-05-05,130,,,,,,False,True
2019-05-06,485,,,,,,False,True
2019-05-07,209,,,,,,False,True
2019-05-08,18,,,,,,True,False
2019-05-08,354,,,,,,False,True
2019-05-09,230,,,,,,False,True
2019-05-10,975,,,,,,False,True
2019-05-13,1,,,,,,True,False
2019-05-13,114,,,,,,False,True
2019-05-14,293,,,,,,False,True
2019-05-15,7,,,,,,True,False
2019-05-15,299,,,,,,False,True
2019-05-16,126,,,,,,False,True
2019-05-17,105,,,,,,False,True
2019-05-23,77,,,,,,True,False
2019-05-23,100,,,,,,False,True
2019-05-29,239,,,,,,True,False
2019-05-31,545,,,,,,True,False
2019-06-03,381,,,,,,True,False
2019-06-05,127,,,,,,True,False
2019-06-10,544,,,,,,True,False
2019-06-13,397,,,,,,True,False
2019-06-14,602,,,,,,True,False
2019-06-17,660,,,,,,True,False
2019-06-19,366,,,,,,True,False
2019-06-21,248,,,,,,True,False
2019-06-25,1,,,,,,True,False
2019-06-26,82,,,,,,True,False
2019-07-05,1,,,,,,True,False
2019-07-09,7,,,,,,True,False
2019-07-12,7,,,,,,True,False
2019-08-23,1,,,,,,True,False
2019-08-24,2,,,,,,True,False
2019-08-25,1,,,,,,True,False
2019-08-26,2,,,,,,True,False
2019-08-27,3,,,,,,True,False
2019-08-28,1,,,,,,True,False
2019-08-29,1,,,,,,True,False
2019-09-03,3,,,,,,True,False
2019-09-05,6,,,,,,True,False
2019-09-06,8,,,,,,True,False
2019-09-08,5,,,,,,True,False
2019-09-09,1,,,,,,True,False
2019-09-11,4,,,,,,True,False
2019-09-13,1,,,,,,True,False
2019-09-18,1,,,,,,True,False
2019-09-19,2,,,,,,True,False
2019-09-20,1,,,,,,True,False
2019-09-23,2,,,,,,True,False
2019-09-24,6,,,,,,True,False
2019-09-25,1,,,,,,True,False
2019-10-27,15,,,,,,True,False
2019-11-01,2,,,,,,False,True
2019-11-03,2,,,,,,True,False
2019-11-05,2,,,,,,False,True
2019-11-06,1,,,,,,False,True
2019-11-10,7,,,,,,False,True
2019-11-12,4,,,,,,False,True
2019-11-14,2,,,,,,False,True
2019-11-16,4,,,,,,False,True
2019-11-18,2,,,,,,False,True
2019-11-24,2,,,,,,False,True
2019-11-25,3,,,,,,False,True
2019-12-05,2,,,,,,False,True
2019-12-08,11,,,,,,True,False
2019-12-08,2,,,,,,False,True
2019-12-27,1,,,,,,True,False
2020-01-09,13,,,,,,True,False
2020-01-28,13,,,,,,True,False
2020-02-09,2,,,,,,True,False
2020-02-16,22,,,,,,True,False
2020-03-09,6,,,,,,True,False
2020-04-06,3,,,,,,True,False
2020-04-29,72,,,,,,False,True
