date,month,year,Temp,Flow,Level,count,october_Flow,november_Flow,december_Temp,january_Temp,february_Temp,october_Level,november_Level,rolling_Temp_mean_15,rolling_Temp_mean_10,rolling_Temp_mean_5,rolling_Temp_std_15,rolling_Temp_std_10,rolling_Temp_std_5,rolling_Flow_mean_15,rolling_Flow_mean_10,rolling_Flow_mean_5,rolling_Flow_std_15,rolling_Flow_std_10,rolling_Flow_std_5,rolling_Level_mean_15,rolling_Level_mean_10,rolling_Level_mean_5,rolling_Level_std_15,rolling_Level_std_10,rolling_Level_std_5
2021-12-19,12,2021,0.8375,39.55000114440918,1.5419999957084656,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,2.149555555555555,2.002499999999999,1.965833333333332,1.9768344621490566,1.7916065881398062,1.7427662995933402,27.86900021235148,33.14800033569336,26.23000020980835,16.330880653926606,17.92360777533039,9.205474325704554,1.314733334382375,1.4031499981880189,1.3134000062942506,0.24095581084390608,0.25296605919527915,0.15981332819354271
2021-12-20,12,2021,0.2041666666666667,27.500000953674316,1.3554999828338623,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,2.1989999999999994,2.048749999999999,1.1841666666666653,1.913072359628358,1.731727855565081,1.3774265205239062,28.422333590189616,34.30000042915344,27.240000438690185,16.155846386249486,17.046309672801662,8.960845757996694,1.3267666657765707,1.4273499965667724,1.3338999986648559,0.23796763602963103,0.23296243061161767,0.1566717913633375
2021-12-21,12,2021,-1.1125,21.84999990463257,1.2520000338554382,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,2.0776111111111106,1.4108333333333327,0.27666666666666523,2.0660652414698792,1.5832129583868992,0.9649841679750308,28.727666918436686,29.040000343322752,27.6100004196167,15.9722567796861,9.896655093614125,8.618831508242701,1.3343666672706604,1.359200006723404,1.342900002002716,0.23328265202259513,0.15511969841343473,0.14864656022507716
2021-12-22,12,2021,3.7125,49.04999923706055,1.5979999899864197,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,2.143166666666666,1.6133333333333326,1.0199999999999985,2.1034772609422228,1.7438823846820084,1.7810206967411548,30.941333548227945,28.985000228881837,33.940000247955325,16.35566981687488,9.770421589962934,10.632755755293378,1.3668333331743876,1.35385000705719,1.4317000031471252,0.23386347296167936,0.14447568665148405,0.13995426540346523
2021-12-23,12,2021,2.9291666666666667,75.05000114440918,1.9030000567436218,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,1.9412222222222217,1.6704166666666658,1.3141666666666654,1.8399380453106067,1.7799481651661335,1.9816817352940834,34.765666993459064,33.130000305175784,42.60000047683716,19.448783218504566,17.600587329293898,20.990950625246374,1.417466668287913,1.4004500091075898,1.5301000118255614,0.2625194833046239,0.22627300720524768,0.2508142878812089
2021-12-24,12,2021,1.4166666666666667,41.39999961853027,1.522000014781952,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,1.8116666666666663,1.697916666666666,1.4299999999999986,1.8009058567180318,1.772982084139117,1.9636992089756313,36.42200028101603,34.60000019073486,42.970000171661376,18.835389848219386,17.617746945494083,20.93999188077326,1.4441333373387655,1.4197500109672547,1.5261000156402589,0.2503983533565159,0.2277278255877604,0.25073652930402496
2021-12-25,12,2021,0.8833333333333333,29.050000190734863,1.3540000319480896,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,1.8877777777777773,1.3749999999999993,1.5658333333333319,1.7298983439562816,1.5663748250632252,1.8793869974300976,37.29333362579346,35.260000228881836,43.28000001907348,18.110552239623242,17.2313959489517,20.663361682001895,1.4601666728655498,1.42985001206398,1.5258000254631043,0.23493772514065028,0.22166969002483927,0.250992436007782
2021-12-26,12,2021,-4.129166666666666,22.899999618530273,1.2524999976158142,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,1.2613888888888884,0.6195833333333327,0.9624999999999986,2.083900200656377,2.172264003931611,3.064632194262344,33.85666688283285,35.55000019073486,43.48999996185303,15.215779897642722,16.968434961780627,20.394711787288532,1.4147666772206624,1.4344000101089478,1.5259000182151794,0.200161357263886,0.21700510640640047,0.2508561497934131
2021-12-27,12,2021,-7.4625,18.799999713897705,1.1759999990463257,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,0.6513888888888884,-0.12625000000000072,-1.2725000000000013,3.0605803291300138,3.3638092074697754,4.359182318521319,31.80333350499471,35.69000015258789,37.44000005722046,15.01638965951095,16.807055654921403,22.690565779744883,1.38306667804718,1.436600011587143,1.4415000200271606,0.19762834578063043,0.21393637086670922,0.2886737131135098
2021-12-28,12,2021,-5.7375,16.369999408721924,1.1259999871253967,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,0.11166666666666618,-0.8458333333333341,-3.0058333333333342,3.4296487539391256,3.7362210847092947,3.9771183646088097,30.65466677347819,34.15200009346008,25.703999710083007,15.519701024017607,17.877293058235903,10.002641231558,1.362333341439565,1.4081000089645386,1.2861000061035157,0.20762670667332117,0.23561113226096622,0.1574342845486154
